Cluster,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
M6,GO:0140013,meiotic nuclear division,5/31,197/18805,0.025380710659898477,15.396266579335188,8.253928563329456,1.6328183576463245e-5,1.1693086303144646e-4,7.096799652928e-5,991/1164/9232/10051/11130,5
M6,GO:0006310,DNA recombination,6/31,352/18805,0.017045454545454544,10.339992668621699,7.188064038909808,2.0434756942545974e-5,1.4478242684825125e-4,8.787174317959299e-5,2237/51659/3148/3838/4172/4176,6
M6,GO:0010458,exit from mitosis,3/31,33/18805,0.09090909090909091,55.146627565982406,12.65029552001302,2.14018508856325e-5,1.5003823884032888e-4,9.106161484856376e-5,332/11065/27338,3
M6,GO:2001252,positive regulation of chromosome organization,4/31,105/18805,0.0380952380952381,23.10906298003072,9.23148874426027,2.5711105452783707e-5,1.7837079407868696e-4,1.0825728611698403e-4,9212/983/2237/10051,4
M6,GO:1903046,meiotic cell cycle process,5/31,220/18805,0.022727272727272728,13.786656891495602,7.75201547264632,2.7766006168842595e-5,1.906408258603007e-4,1.1570424708448787e-4,991/1164/9232/10051/11130,5
M6,GO:0010389,regulation of G2/M transition of mitotic cell cycle,4/31,109/18805,0.03669724770642202,22.26102397158923,9.045876159320452,2.9785479799476656e-5,2.0241968924950463e-4,1.2285310679913036e-4,9212/891/983/1063,4
M6,GO:0022616,DNA strand elongation,3/31,37/18805,0.08108108108108109,49.1848299912816,11.92146854090139,3.0343008274442045e-5,2.0412569202806467e-4,1.2388851863249066e-4,4172/4176/5111,3
M6,GO:0048144,fibroblast proliferation,4/31,110/18805,0.03636363636363636,22.05865102639296,9.001019798698502,3.087396620826888e-5,2.0562061494707072e-4,1.2479582130500263e-4,891/983/1163/1164,4
M6,GO:0070979,protein K11-linked ubiquitination,3/31,39/18805,0.07692307692307693,46.66253101736973,11.599358976067611,3.5609568609693805e-5,2.3481161083223833e-4,1.4251249969903515e-4,11065/27338/29089,3
M6,GO:0071459,"protein localization to chromosome, centromeric region",3/31,41/18805,0.07317073170731707,44.38630999213218,11.300807901495087,4.14434329197165e-5,2.679740419857397e-4,1.6263953235739535e-4,9212/9184/983,3
M6,GO:0090329,regulation of DNA-templated DNA replication,3/31,41/18805,0.07317073170731707,44.38630999213218,11.300807901495087,4.14434329197165e-5,2.679740419857397e-4,1.6263953235739535e-4,51053/4172/4176,3
M6,GO:1902749,regulation of cell cycle G2/M phase transition,4/31,122/18805,0.03278688524590164,19.888947646747752,8.505344966175885,4.6328836087925836e-5,2.966827387938328e-4,1.8006349248748507e-4,9212/891/983/1063,4
M6,GO:0007052,mitotic spindle organization,4/31,135/18805,0.02962962962962963,17.973715651135006,8.042650734502491,6.876317036239842e-5,4.361549662986414e-4,2.6471235507930825e-4,9212/332/891/991,4
M6,GO:0046686,response to cadmium ion,3/31,50/18805,0.06,36.39677419354839,10.183984149417775,7.543841581882216e-5,4.739809899559958e-4,2.876698279486366e-4,983/1841/5111,3
M6,GO:0061982,meiosis I cell cycle process,4/31,140/18805,0.02857142857142857,17.33179723502304,7.881548665232378,7.920264318721149e-5,4.929809379689987e-4,2.9920132792807887e-4,991/1164/9232/11130,4
M6,GO:0051338,regulation of transferase activity,6/31,463/18805,0.012958963282937365,7.861074339859263,6.074168528571741,9.4107811814693e-5,5.803315061906068e-4,3.522163717041142e-4,991/1033/4085/5111/11065/27338,6
