Cluster,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
M2,GO:0007173,epidermal growth factor receptor signaling pathway,5/102,158/18805,0.03164556962025317,5.834264085380989,4.506340453879212,0.0017003246506218709,0.026908312328095322,0.022514741614333048,84632/1012/2321/4916/7010,5
M2,GO:0038084,vascular endothelial growth factor signaling pathway,4/102,95/18805,0.042105263157894736,7.762641898864809,4.879899410926626,0.0017798351941653659,0.02794481399343102,0.023382004001260715,2321/4916/7010/7424,4
M2,GO:0016525,negative regulation of angiogenesis,5/102,160/18805,0.03125,5.761335784313726,4.466601197765743,0.0017968206861273578,0.027991097251077745,0.023420730160459396,641700/3087/23166/7010/7042,5
M2,GO:0062042,regulation of cardiac epithelial to mesenchymal transition,2/102,12/18805,0.16666666666666666,30.727124183006534,7.607028331241472,0.0018558578800662747,0.028248706968337037,0.023636277540418204,182/7042,2
M2,GO:0072070,loop of Henle development,2/102,12/18805,0.16666666666666666,30.727124183006534,7.607028331241472,0.0018558578800662747,0.028248706968337037,0.023636277540418204,358/182,2
M2,GO:2001214,positive regulation of vasculogenesis,2/102,12/18805,0.16666666666666666,30.727124183006534,7.607028331241472,0.0018558578800662747,0.028248706968337037,0.023636277540418204,947/55273,2
M2,GO:2000181,negative regulation of blood vessel morphogenesis,5/102,162/18805,0.030864197530864196,5.690208182038247,4.42752780914222,0.0018972751819682876,0.028660353885187617,0.02398071103205531,641700/3087/23166/7010/7042,5
M2,GO:0045601,regulation of endothelial cell differentiation,3/102,46/18805,0.06521739130434782,12.023657289002557,5.528016714235736,0.001985639550798557,0.029769663641295657,0.024908893454813716,1003/182/55273,3
M2,GO:1901343,negative regulation of vasculature development,5/102,164/18805,0.03048780487804878,5.620815399330463,4.389100344554767,0.0020017842312351577,0.02978774445584257,0.0249240220464079,641700/3087/23166/7010/7042,5
M2,GO:0044344,cellular response to fibroblast growth factor stimulus,5/102,165/18805,0.030303030303030304,5.586749851455734,4.370122831225139,0.002055589334517861,0.03036181580021196,0.02540435941684842,1277/54567/2321/4916/7010,5
M2,GO:0040013,negative regulation of locomotion,8/102,421/18805,0.019002375296912115,3.5033300731218855,3.836266144611015,0.0020709993891778224,0.03036450575015131,0.02540661015361338,397/653/1281/54567/182/100528032/22998/4208,8
M2,GO:0090092,regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,7/102,329/18805,0.02127659574468085,3.9226115978306213,3.9494320462168733,0.0021026671805613392,0.030527418950448217,0.025542922998712157,653/1003/3209/5654/255743/50964/7042,7
M2,GO:0032941,secretion by tissue,3/102,47/18805,0.06382978723404255,11.767834793491865,5.458252434429616,0.0021127300978745506,0.030527418950448217,0.025542922998712157,55107/358/5581,3
M2,GO:0001886,endothelial cell morphogenesis,2/102,13/18805,0.15384615384615385,28.36349924585219,7.28830231553755,0.002185541843473599,0.03090759174387487,0.025861021440131807,1003/3209,2
M2,GO:0002357,defense response to tumor cell,2/102,13/18805,0.15384615384615385,28.36349924585219,7.28830231553755,0.002185541843473599,0.03090759174387487,0.025861021440131807,7805/27303,2
M2,GO:1903867,extraembryonic membrane development,2/102,13/18805,0.15384615384615385,28.36349924585219,7.28830231553755,0.002185541843473599,0.03090759174387487,0.025861021440131807,653/5654,2
M2,GO:0016339,calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules,3/102,48/18805,0.0625,11.522671568627452,5.390567830215925,0.0022447685506127826,0.03152160908395696,0.02637478245160312,1012/1003/51294,3
M2,GO:0048009,insulin-like growth factor receptor signaling pathway,4/102,102/18805,0.0392156862745098,7.229911572472126,4.659034232652641,0.002308221655233195,0.03218597189185308,0.026930668557560655,653/2321/4916/7010,4
M2,GO:0003002,regionalization,8/102,430/18805,0.018604651162790697,3.43000455996352,3.764412550539292,0.0023605578477179138,0.032529796450116895,0.027218353678633418,8854/54567/3087/3206/3207/3205/4208/4222,8
M2,GO:0036323,vascular endothelial growth factor receptor-1 signaling pathway,3/102,49/18805,0.061224489795918366,11.2875150060024,5.3248573762767615,0.0023818206026665328,0.032529796450116895,0.027218353678633418,2321/4916/7010,3
M2,GO:1905314,semi-lunar valve development,3/102,49/18805,0.061224489795918366,11.2875150060024,5.3248573762767615,0.0023818206026665328,0.032529796450116895,0.027218353678633418,54567/182/7042,3
M2,GO:0060562,epithelial tube morphogenesis,7/102,337/18805,0.020771513353115726,3.8294932216209925,3.8706441459491145,0.0024057795934459606,0.03263350006347786,0.0273051246373924,653/54567/3207/4208/255743/340419/7042,7
M2,GO:0043114,regulation of vascular permeability,3/102,50/18805,0.06,11.061764705882352,5.261022937470502,0.0025239504704684655,0.03333126961139611,0.027888962853857807,1003/83483/7010,3
M2,GO:0045747,positive regulation of Notch signaling pathway,3/102,50/18805,0.06,11.061764705882352,5.261022937470502,0.0025239504704684655,0.03333126961139611,0.027888962853857807,54567/182/7042,3
M2,GO:0071774,response to fibroblast growth factor,5/102,173/18805,0.028901734104046242,5.328403037515584,4.223675817757093,0.002524841960017602,0.03333126961139611,0.027888962853857807,1277/54567/2321/4916/7010,5
M2,GO:0003222,ventricular trabecula myocardium morphogenesis,2/102,14/18805,0.14285714285714285,26.3375350140056,7.003626924322863,0.002540798887127487,0.03333126961139611,0.027888962853857807,54567/7042,2
M2,GO:0071107,response to parathyroid hormone,2/102,14/18805,0.14285714285714285,26.3375350140056,7.003626924322863,0.002540798887127487,0.03333126961139611,0.027888962853857807,4208/50964,2
M2,GO:0008593,regulation of Notch signaling pathway,4/102,105/18805,0.0380952380952381,7.023342670401494,4.570681797322649,0.0025645547177428688,0.033423020308361306,0.02796573256018196,8788/54567/182/7042,4
M2,GO:0032526,response to retinoic acid,4/102,106/18805,0.03773584905660377,6.957084720680725,4.541999568693114,0.0026541691485156885,0.03414460182025989,0.028569494739540686,8854/358/1277/3490,4
M2,GO:0090130,tissue migration,4/102,106/18805,0.03773584905660377,6.957084720680725,4.541999568693114,0.0026541691485156885,0.03414460182025989,0.028569494739540686,59/70/5581/7042,4
M2,GO:0001974,blood vessel remodeling,3/102,52/18805,0.057692307692307696,10.63631221719457,5.138622663000204,0.002823693234752165,0.03519027693809886,0.029444432743961725,54567/182/4208,3
M2,GO:0036215,response to stem cell factor,3/102,52/18805,0.057692307692307696,10.63631221719457,5.138622663000204,0.002823693234752165,0.03519027693809886,0.029444432743961725,2321/4916/7010,3
M2,GO:0036216,cellular response to stem cell factor stimulus,3/102,52/18805,0.057692307692307696,10.63631221719457,5.138622663000204,0.002823693234752165,0.03519027693809886,0.029444432743961725,2321/4916/7010,3
